,passengers,distance,fare,tip,tolls,total,color,payment,pickup_zone,dropoff_zone,pickup_borough,dropoff_borough,Pday,Pmonth,Pyear,Phour,Dday,Dmonth,Dyear,Dhour,trip
31,3,0.74,4.0,0.0,0.0,7.8,yellow,cash,Clinton East,West Chelsea/Hudson Yards,Manhattan,Manhattan,4,3,2019,2,4,3,2019,2,ManhattanManhattan
32,1,0.62,5.5,1.0,0.0,9.8,yellow,credit card,Midtown Center,Sutton Place/Turtle Bay North,Manhattan,Manhattan,6,3,2019,19,6,3,2019,19,ManhattanManhattan
33,2,0.65,4.5,2.49,0.0,10.79,yellow,credit card,Midtown South,Midtown Center,Manhattan,Manhattan,2,3,2019,22,2,3,2019,22,ManhattanManhattan
34,2,0.87,7.5,2.16,0.0,12.96,yellow,credit card,Midtown North,Clinton West,Manhattan,Manhattan,3,3,2019,10,3,3,2019,10,ManhattanManhattan
35,1,3.06,17.0,4.26,0.0,25.56,yellow,credit card,West Chelsea/Hudson Yards,Lenox Hill East,Manhattan,Manhattan,4,3,2019,17,4,3,2019,18,ManhattanManhattan
36,1,1.1,5.5,0.0,0.0,9.8,yellow,cash,Garment District,Flatiron,Manhattan,Manhattan,4,3,2019,17,4,3,2019,17,ManhattanManhattan
37,1,3.13,20.5,0.0,0.0,24.8,yellow,cash,Lenox Hill East,Garment District,Manhattan,Manhattan,3,3,2019,18,3,3,2019,19,ManhattanManhattan
38,2,1.13,6.5,2.16,0.0,12.96,yellow,credit card,Gramercy,Murray Hill,Manhattan,Manhattan,0,3,2019,16,0,3,2019,16,ManhattanManhattan
39,1,2.47,10.0,2.76,0.0,16.56,yellow,credit card,Garment District,Upper West Side South,Manhattan,Manhattan,0,3,2019,22,0,3,2019,22,ManhattanManhattan
40,1,7.51,27.0,6.06,0.0,36.36,yellow,credit card,Flatiron,Carroll Gardens,Manhattan,Brooklyn,3,3,2019,15,3,3,2019,15,ManhattanBrooklyn
43,1,9.5,28.0,0.0,5.76,35.06,yellow,cash,LaGuardia Airport,Washington Heights South,Queens,Manhattan,2,3,2019,19,2,3,2019,20,QueensManhattan
44,1,9.37,29.5,1.0,0.0,33.8,yellow,credit card,East Harlem South,Battery Park City,Manhattan,Manhattan,3,3,2019,7,3,3,2019,7,ManhattanManhattan
45,1,0.8,12.5,3.15,0.0,18.95,yellow,credit card,Lincoln Square East,Midtown East,Manhattan,Manhattan,3,3,2019,11,3,3,2019,11,ManhattanManhattan
46,2,4.7,20.0,0.0,0.0,23.3,yellow,cash,Times Sq/Theatre District,Battery Park City,Manhattan,Manhattan,2,3,2019,11,2,3,2019,12,ManhattanManhattan
47,2,1.15,5.5,2.64,0.0,11.44,yellow,credit card,Upper East Side North,Lenox Hill West,Manhattan,Manhattan,2,3,2019,6,2,3,2019,6,ManhattanManhattan
48,1,1.3,7.0,0.0,0.0,11.3,yellow,cash,Lincoln Square East,Times Sq/Theatre District,Manhattan,Manhattan,3,3,2019,16,3,3,2019,16,ManhattanManhattan
49,1,4.87,17.5,0.0,0.0,21.3,yellow,cash,West Village,Upper West Side South,Manhattan,Manhattan,0,3,2019,21,0,3,2019,21,ManhattanManhattan
50,2,1.0,11.5,0.0,0.0,14.8,yellow,cash,Clinton East,Penn Station/Madison Sq West,Manhattan,Manhattan,5,3,2019,16,5,3,2019,16,ManhattanManhattan
51,4,1.89,12.0,0.0,0.0,15.3,yellow,cash,Midtown North,Union Sq,Manhattan,Manhattan,5,3,2019,17,5,3,2019,17,ManhattanManhattan
52,2,0.9,7.0,2.15,0.0,12.95,yellow,credit card,Greenwich Village South,Meatpacking/West Village West,Manhattan,Manhattan,3,3,2019,21,3,3,2019,21,ManhattanManhattan
53,1,13.45,36.0,0.0,0.0,37.8,yellow,cash,JFK Airport,Sunnyside,Queens,Queens,2,3,2019,18,2,3,2019,19,QueensQueens
54,1,2.8,10.5,2.85,0.0,17.15,yellow,credit card,East Village,Sutton Place/Turtle Bay North,Manhattan,Manhattan,6,3,2019,1,6,3,2019,1,ManhattanManhattan
55,1,3.43,19.0,4.46,0.0,26.76,yellow,credit card,Union Sq,Lincoln Square West,Manhattan,Manhattan,3,3,2019,12,3,3,2019,12,ManhattanManhattan
56,2,19.59,52.0,0.0,5.76,65.56,yellow,credit card,JFK Airport,Upper East Side North,Queens,Manhattan,1,3,2019,17,1,3,2019,18,QueensManhattan
57,4,0.71,5.5,1.76,0.0,10.56,yellow,credit card,UN/Turtle Bay South,Midtown Center,Manhattan,Manhattan,6,3,2019,13,6,3,2019,14,ManhattanManhattan
58,1,4.5,18.5,4.46,0.0,26.76,yellow,credit card,Garment District,Financial District North,Manhattan,Manhattan,4,3,2019,23,4,3,2019,23,ManhattanManhattan
59,3,0.82,7.0,2.0,0.0,12.3,yellow,credit card,TriBeCa/Civic Center,Lower East Side,Manhattan,Manhattan,5,3,2019,19,5,3,2019,19,ManhattanManhattan
60,1,0.9,5.0,0.0,0.0,6.3,yellow,credit card,East Harlem South,East Harlem North,Manhattan,Manhattan,4,3,2019,22,4,3,2019,22,ManhattanManhattan
61,2,2.4,17.5,0.0,0.0,20.8,yellow,cash,Times Sq/Theatre District,Lenox Hill East,Manhattan,Manhattan,2,3,2019,10,2,3,2019,11,ManhattanManhattan
62,1,0.44,4.0,0.0,0.0,7.8,yellow,cash,Flatiron,East Chelsea,Manhattan,Manhattan,3,3,2019,23,3,3,2019,23,ManhattanManhattan
63,4,1.02,5.5,0.0,0.0,9.3,yellow,cash,Penn Station/Madison Sq West,Garment District,Manhattan,Manhattan,3,3,2019,21,3,3,2019,22,ManhattanManhattan
64,6,1.38,9.0,3.08,0.0,15.38,yellow,credit card,Midtown South,Midtown Center,Manhattan,Manhattan,1,3,2019,10,1,3,2019,10,ManhattanManhattan
65,1,2.42,15.5,3.76,0.0,22.56,yellow,credit card,Hudson Sq,Times Sq/Theatre District,Manhattan,Manhattan,5,3,2019,19,5,3,2019,19,ManhattanManhattan
66,1,0.66,6.0,2.79,0.0,12.09,yellow,credit card,Lenox Hill West,Lenox Hill West,Manhattan,Manhattan,4,3,2019,13,4,3,2019,13,ManhattanManhattan
67,1,3.3,15.5,0.0,0.0,18.8,yellow,cash,Garment District,Yorkville East,Manhattan,Manhattan,0,3,2019,13,0,3,2019,13,ManhattanManhattan
68,3,1.22,7.5,0.0,0.0,11.3,yellow,cash,Clinton East,Midtown North,Manhattan,Manhattan,4,3,2019,2,4,3,2019,2,ManhattanManhattan
69,1,0.55,7.5,1.5,0.0,12.3,yellow,credit card,Clinton East,Times Sq/Theatre District,Manhattan,Manhattan,6,3,2019,15,6,3,2019,15,ManhattanManhattan
70,1,3.51,16.5,1.0,0.0,21.8,yellow,credit card,Union Sq,Upper East Side North,Manhattan,Manhattan,2,3,2019,19,2,3,2019,19,ManhattanManhattan
71,1,1.07,5.5,1.76,0.0,10.56,yellow,credit card,East Chelsea,Garment District,Manhattan,Manhattan,2,3,2019,7,2,3,2019,7,ManhattanManhattan
72,1,1.98,11.5,2.96,0.0,17.76,yellow,credit card,Yorkville West,Upper West Side North,Manhattan,Manhattan,1,3,2019,15,1,3,2019,16,ManhattanManhattan
73,1,1.0,6.5,1.95,0.0,11.75,yellow,credit card,Murray Hill,Union Sq,Manhattan,Manhattan,4,3,2019,8,4,3,2019,8,ManhattanManhattan
74,1,1.85,10.0,0.0,0.0,13.8,yellow,cash,Clinton East,Lenox Hill West,Manhattan,Manhattan,5,3,2019,23,5,3,2019,23,ManhattanManhattan
75,1,7.95,30.0,0.0,0.0,33.8,yellow,cash,Flatiron,Jackson Heights,Manhattan,Queens,6,3,2019,1,6,3,2019,2,ManhattanQueens
76,1,1.0,6.5,0.0,0.0,9.8,yellow,cash,Upper East Side North,Midtown East,Manhattan,Manhattan,5,3,2019,13,5,3,2019,13,ManhattanManhattan
77,1,0.6,5.0,1.65,0.0,9.95,yellow,credit card,Midtown Center,Midtown Center,Manhattan,Manhattan,1,3,2019,15,1,3,2019,15,ManhattanManhattan
78,2,1.57,8.5,1.8,0.0,14.6,yellow,credit card,Central Park,Midtown North,Manhattan,Manhattan,0,3,2019,19,0,3,2019,20,ManhattanManhattan
79,1,1.3,7.5,2.25,0.0,13.55,yellow,credit card,West Chelsea/Hudson Yards,Meatpacking/West Village West,Manhattan,Manhattan,6,3,2019,22,6,3,2019,22,ManhattanManhattan
80,1,1.47,9.5,0.0,0.0,13.3,yellow,cash,Midtown East,Penn Station/Madison Sq West,Manhattan,Manhattan,4,3,2019,23,4,3,2019,23,ManhattanManhattan
81,2,0.4,4.0,0.0,0.0,7.3,yellow,cash,Upper East Side North,Upper East Side North,Manhattan,Manhattan,5,3,2019,18,5,3,2019,19,ManhattanManhattan
82,6,1.84,10.0,2.66,0.0,15.96,yellow,credit card,East Harlem South,Upper East Side South,Manhattan,Manhattan,3,3,2019,11,3,3,2019,12,ManhattanManhattan
83,1,2.5,12.5,1.5,0.0,17.8,yellow,credit card,Meatpacking/West Village West,Chinatown,Manhattan,Manhattan,5,3,2019,21,5,3,2019,21,ManhattanManhattan
84,2,1.5,9.5,0.0,0.0,12.8,yellow,cash,Gramercy,Penn Station/Madison Sq West,Manhattan,Manhattan,5,3,2019,19,5,3,2019,20,ManhattanManhattan
85,1,1.02,5.0,2.08,0.0,10.38,yellow,credit card,Kips Bay,Stuy Town/Peter Cooper Village,Manhattan,Manhattan,6,3,2019,16,6,3,2019,16,ManhattanManhattan
86,1,0.6,5.0,0.0,0.0,6.3,yellow,cash,Morningside Heights,Morningside Heights,Manhattan,Manhattan,0,3,2019,20,0,3,2019,20,ManhattanManhattan
87,1,4.1,16.0,0.0,0.0,19.8,yellow,cash,Hudson Sq,Lincoln Square East,Manhattan,Manhattan,3,3,2019,22,3,3,2019,23,ManhattanManhattan
88,1,0.07,2.5,0.0,0.0,3.8,yellow,cash,Astoria,Astoria,Queens,Queens,5,3,2019,5,5,3,2019,5,QueensQueens
89,1,5.99,20.0,5.95,0.0,29.75,yellow,credit card,Greenwich Village South,Yorkville West,Manhattan,Manhattan,2,3,2019,22,2,3,2019,22,ManhattanManhattan
90,5,2.55,16.5,0.0,0.0,19.8,yellow,cash,Midtown Center,Little Italy/NoLiTa,Manhattan,Manhattan,3,3,2019,10,3,3,2019,11,ManhattanManhattan
91,1,0.3,3.0,0.95,0.0,7.25,yellow,credit card,Upper East Side North,Upper East Side North,Manhattan,Manhattan,0,3,2019,8,0,3,2019,8,ManhattanManhattan
93,3,0.66,9.5,1.2,0.0,14.0,yellow,credit card,Sutton Place/Turtle Bay North,Midtown Center,Manhattan,Manhattan,1,3,2019,12,1,3,2019,12,ManhattanManhattan
94,3,2.6,11.0,4.4,0.0,19.2,yellow,credit card,Upper East Side South,Upper West Side North,Manhattan,Manhattan,2,3,2019,20,2,3,2019,20,ManhattanManhattan
95,1,1.6,9.0,2.55,0.0,15.35,yellow,credit card,Penn Station/Madison Sq West,Stuy Town/Peter Cooper Village,Manhattan,Manhattan,3,3,2019,21,3,3,2019,21,ManhattanManhattan
96,1,3.21,13.5,0.0,0.0,17.8,yellow,cash,Financial District South,Downtown Brooklyn/MetroTech,Manhattan,Brooklyn,2,3,2019,16,2,3,2019,16,ManhattanBrooklyn
97,1,1.3,7.5,0.5,0.0,11.8,yellow,credit card,Midtown Center,Upper East Side South,Manhattan,Manhattan,0,3,2019,22,0,3,2019,22,ManhattanManhattan
98,2,0.9,7.0,0.0,0.0,11.3,yellow,cash,Midtown North,Times Sq/Theatre District,Manhattan,Manhattan,4,3,2019,19,4,3,2019,19,ManhattanManhattan
99,3,0.95,7.5,2.16,0.0,12.96,yellow,credit card,West Village,Flatiron,Manhattan,Manhattan,5,3,2019,10,5,3,2019,10,ManhattanManhattan
100,1,1.79,13.5,3.36,0.0,20.16,yellow,credit card,Lincoln Square East,Midtown South,Manhattan,Manhattan,3,3,2019,11,3,3,2019,11,ManhattanManhattan
101,1,1.15,7.0,2.06,0.0,12.36,yellow,credit card,Midtown Center,Lenox Hill West,Manhattan,Manhattan,4,3,2019,14,4,3,2019,14,ManhattanManhattan
102,1,1.2,6.5,0.0,0.0,9.8,yellow,cash,Bloomingdale,Upper West Side North,Manhattan,Manhattan,4,3,2019,7,4,3,2019,7,ManhattanManhattan
103,4,0.43,4.0,0.0,0.0,7.3,yellow,cash,Union Sq,Union Sq,Manhattan,Manhattan,6,3,2019,11,6,3,2019,11,ManhattanManhattan
104,3,9.5,30.0,0.0,5.76,39.06,yellow,cash,Queensboro Hill,Midtown South,Queens,Manhattan,3,3,2019,13,3,3,2019,13,QueensManhattan
105,1,1.1,6.5,2.15,0.0,12.95,yellow,credit card,Central Park,Upper West Side North,Manhattan,Manhattan,1,3,2019,17,1,3,2019,17,ManhattanManhattan
106,1,2.06,10.0,2.86,0.0,17.16,yellow,credit card,Gramercy,Midtown Center,Manhattan,Manhattan,4,3,2019,18,4,3,2019,18,ManhattanManhattan
107,1,0.78,5.5,1.47,0.0,11.27,yellow,credit card,Union Sq,Midtown South,Manhattan,Manhattan,0,3,2019,17,0,3,2019,17,ManhattanManhattan
108,4,2.42,13.5,2.0,0.0,18.8,yellow,credit card,Midtown South,Clinton West,Manhattan,Manhattan,4,3,2019,13,4,3,2019,13,ManhattanManhattan
109,1,2.73,13.0,1.0,0.0,17.8,yellow,credit card,SoHo,DUMBO/Vinegar Hill,Manhattan,Brooklyn,5,3,2019,23,6,3,2019,0,ManhattanBrooklyn
110,1,5.7,20.0,4.65,0.0,27.95,yellow,credit card,Yorkville West,Greenwich Village South,Manhattan,Manhattan,2,3,2019,10,2,3,2019,10,ManhattanManhattan
111,1,11.93,39.5,9.71,5.76,58.27,yellow,credit card,Times Sq/Theatre District,LaGuardia Airport,Manhattan,Queens,4,3,2019,10,4,3,2019,11,ManhattanQueens
112,1,1.7,10.0,2.75,0.0,16.55,yellow,credit card,Midtown Center,Upper West Side South,Manhattan,Manhattan,4,3,2019,23,4,3,2019,23,ManhattanManhattan
113,1,2.9,15.0,0.0,0.0,18.3,yellow,cash,Penn Station/Madison Sq West,Upper West Side South,Manhattan,Manhattan,5,3,2019,12,5,3,2019,12,ManhattanManhattan
114,1,5.98,19.0,5.58,0.0,27.88,yellow,credit card,Brooklyn Heights,Murray Hill,Brooklyn,Manhattan,1,3,2019,12,1,3,2019,12,BrooklynManhattan
115,1,0.65,5.0,1.86,0.0,11.16,yellow,credit card,Midtown Center,Sutton Place/Turtle Bay North,Manhattan,Manhattan,4,3,2019,16,4,3,2019,16,ManhattanManhattan
116,1,1.76,10.5,0.0,0.0,13.8,yellow,cash,Times Sq/Theatre District,Flatiron,Manhattan,Manhattan,0,3,2019,15,0,3,2019,15,ManhattanManhattan
118,2,0.58,4.5,0.78,0.0,8.58,yellow,credit card,Upper East Side South,Upper East Side North,Manhattan,Manhattan,0,3,2019,10,0,3,2019,10,ManhattanManhattan
119,1,1.22,7.0,0.0,0.0,10.8,yellow,cash,Alphabet City,East Village,Manhattan,Manhattan,3,3,2019,23,3,3,2019,23,ManhattanManhattan
121,1,2.1,11.0,3.05,0.0,18.35,yellow,credit card,East Chelsea,East Village,Manhattan,Manhattan,2,3,2019,20,2,3,2019,20,ManhattanManhattan
122,2,2.0,9.5,1.62,0.0,12.42,yellow,credit card,Manhattan Valley,East Harlem South,Manhattan,Manhattan,6,3,2019,20,6,3,2019,20,ManhattanManhattan
123,1,0.83,5.5,0.0,0.0,9.3,yellow,cash,Clinton East,Midtown Center,Manhattan,Manhattan,2,3,2019,21,2,3,2019,21,ManhattanManhattan
124,1,1.79,9.5,1.0,0.0,13.8,yellow,credit card,Midtown Center,Upper East Side North,Manhattan,Manhattan,0,3,2019,13,0,3,2019,13,ManhattanManhattan
125,1,2.07,10.0,2.7,0.0,13.5,yellow,credit card,East Harlem South,Manhattan Valley,Manhattan,Manhattan,6,3,2019,17,6,3,2019,17,ManhattanManhattan
126,1,1.53,10.0,2.66,0.0,15.96,yellow,credit card,Lincoln Square West,Upper West Side North,Manhattan,Manhattan,2,3,2019,8,2,3,2019,8,ManhattanManhattan
127,1,10.21,37.61,0.0,0.0,38.41,yellow,credit card,East Chelsea,Marble Hill,Manhattan,Manhattan,3,3,2019,18,3,3,2019,19,ManhattanManhattan
128,1,10.8,36.0,11.5,5.76,57.56,yellow,credit card,LaGuardia Airport,Clinton East,Queens,Manhattan,2,3,2019,19,2,3,2019,20,QueensManhattan
129,1,3.43,14.5,3.66,0.0,21.96,yellow,credit card,Times Sq/Theatre District,East Village,Manhattan,Manhattan,6,3,2019,22,6,3,2019,23,ManhattanManhattan
130,3,0.57,6.0,0.0,0.0,9.8,yellow,cash,East Village,East Village,Manhattan,Manhattan,6,3,2019,0,6,3,2019,0,ManhattanManhattan
131,1,0.9,5.5,0.0,0.0,9.8,yellow,cash,Lincoln Square West,Lincoln Square East,Manhattan,Manhattan,3,3,2019,18,3,3,2019,18,ManhattanManhattan
132,1,0.6,4.0,0.0,0.0,7.3,yellow,cash,Kips Bay,Murray Hill,Manhattan,Manhattan,1,3,2019,13,1,3,2019,13,ManhattanManhattan
133,1,1.06,6.0,2.94,0.0,12.74,yellow,credit card,East Chelsea,Clinton East,Manhattan,Manhattan,3,3,2019,21,3,3,2019,21,ManhattanManhattan
134,5,1.56,10.0,1.0,0.0,14.3,yellow,credit card,Union Sq,Midtown Center,Manhattan,Manhattan,0,3,2019,10,0,3,2019,10,ManhattanManhattan
135,1,0.9,8.5,2.5,0.0,15.3,yellow,credit card,Gramercy,Union Sq,Manhattan,Manhattan,2,3,2019,18,2,3,2019,19,ManhattanManhattan
136,1,1.7,9.0,0.0,0.0,12.3,yellow,cash,Lincoln Square West,Upper West Side North,Manhattan,Manhattan,0,3,2019,11,0,3,2019,12,ManhattanManhattan
137,1,0.55,4.5,1.56,0.0,9.36,yellow,credit card,Yorkville East,Yorkville West,Manhattan,Manhattan,5,3,2019,19,5,3,2019,19,ManhattanManhattan
138,4,3.0,14.0,3.65,0.0,21.95,yellow,credit card,Clinton West,Greenwich Village North,Manhattan,Manhattan,3,3,2019,19,3,3,2019,19,ManhattanManhattan
139,6,6.4,23.0,5.26,0.0,31.56,yellow,credit card,Yorkville West,Greenwich Village South,Manhattan,Manhattan,1,3,2019,15,1,3,2019,15,ManhattanManhattan
140,2,4.14,16.0,3.86,0.0,23.16,yellow,credit card,Yorkville East,Kips Bay,Manhattan,Manhattan,4,3,2019,8,4,3,2019,9,ManhattanManhattan
141,1,1.1,6.0,0.0,0.0,9.3,yellow,cash,Clinton East,Central Park,Manhattan,Manhattan,6,3,2019,8,6,3,2019,9,ManhattanManhattan
142,1,2.61,14.0,2.67,0.0,20.47,yellow,credit card,Sutton Place/Turtle Bay North,Lower East Side,Manhattan,Manhattan,5,3,2019,20,5,3,2019,21,ManhattanManhattan
143,1,1.18,6.5,0.0,0.0,9.8,yellow,cash,Union Sq,East Village,Manhattan,Manhattan,6,3,2019,12,6,3,2019,12,ManhattanManhattan
144,1,3.2,12.5,2.0,0.0,17.8,yellow,credit card,UN/Turtle Bay South,East Village,Manhattan,Manhattan,5,3,2019,18,5,3,2019,18,ManhattanManhattan
145,1,2.8,10.5,2.85,0.0,17.15,yellow,credit card,East Chelsea,Lincoln Square West,Manhattan,Manhattan,1,3,2019,23,1,3,2019,23,ManhattanManhattan
146,2,5.09,19.0,5.58,0.0,27.88,yellow,credit card,Financial District North,Stuy Town/Peter Cooper Village,Manhattan,Manhattan,0,3,2019,11,0,3,2019,11,ManhattanManhattan
147,1,1.16,8.0,2.26,0.0,13.56,yellow,credit card,Flatiron,Greenwich Village North,Manhattan,Manhattan,0,3,2019,15,0,3,2019,16,ManhattanManhattan
148,3,2.77,11.0,3.7,0.0,18.5,yellow,credit card,East Chelsea,Seaport,Manhattan,Manhattan,2,3,2019,23,2,3,2019,23,ManhattanManhattan
149,1,1.72,7.5,0.0,0.0,8.3,yellow,cash,Manhattan Valley,East Harlem South,Manhattan,Manhattan,3,3,2019,7,3,3,2019,8,ManhattanManhattan
150,1,3.5,13.5,0.0,0.0,16.8,yellow,cash,Lenox Hill East,Manhattan Valley,Manhattan,Manhattan,1,3,2019,6,1,3,2019,6,ManhattanManhattan
151,3,6.71,34.0,7.46,0.0,44.76,yellow,credit card,Times Sq/Theatre District,Williamsburg (North Side),Manhattan,Brooklyn,4,3,2019,10,4,3,2019,11,ManhattanBrooklyn
152,1,2.2,8.5,2.45,0.0,14.75,yellow,credit card,Lenox Hill West,Garment District,Manhattan,Manhattan,3,3,2019,5,3,3,2019,5,ManhattanManhattan
153,1,2.0,10.0,0.0,0.0,14.3,yellow,cash,Clinton East,Gramercy,Manhattan,Manhattan,2,3,2019,18,2,3,2019,18,ManhattanManhattan
154,2,2.7,14.5,0.0,0.0,18.8,yellow,cash,Murray Hill,Upper East Side North,Manhattan,Manhattan,1,3,2019,17,1,3,2019,18,ManhattanManhattan
155,1,1.03,6.0,1.46,0.0,8.76,yellow,credit card,DUMBO/Vinegar Hill,Brooklyn Heights,Brooklyn,Brooklyn,3,3,2019,22,3,3,2019,22,BrooklynBrooklyn
156,1,0.9,9.5,2.0,0.0,15.8,yellow,credit card,Lenox Hill West,Yorkville East,Manhattan,Manhattan,3,3,2019,19,3,3,2019,20,ManhattanManhattan
157,5,10.18,29.5,0.06,5.76,38.62,yellow,credit card,LaGuardia Airport,Midtown East,Queens,Manhattan,5,3,2019,12,5,3,2019,12,QueensManhattan
158,3,0.92,5.5,0.0,0.0,8.8,yellow,cash,Clinton East,Midtown North,Manhattan,Manhattan,1,3,2019,15,1,3,2019,15,ManhattanManhattan
159,1,2.0,9.5,1.0,0.0,14.8,yellow,credit card,Central Park,Upper East Side North,Manhattan,Manhattan,2,3,2019,16,2,3,2019,16,ManhattanManhattan
160,1,1.43,8.5,2.36,0.0,14.16,yellow,credit card,Central Park,Upper West Side North,Manhattan,Manhattan,3,3,2019,11,3,3,2019,11,ManhattanManhattan
161,3,0.74,4.5,1.95,0.0,9.75,yellow,credit card,Times Sq/Theatre District,Garment District,Manhattan,Manhattan,4,3,2019,7,4,3,2019,7,ManhattanManhattan
162,2,17.1,52.0,13.1,5.76,78.66,yellow,credit card,Midtown South,JFK Airport,Manhattan,Queens,2,3,2019,17,2,3,2019,18,ManhattanQueens
163,1,1.2,5.5,1.0,0.0,10.3,yellow,credit card,Garment District,Garment District,Manhattan,Manhattan,4,3,2019,4,4,3,2019,4,ManhattanManhattan
